iter	Passed	Remaining
0	1	116
1	2	110
2	3	107
3	4	102
4	5	101
5	6	99
6	7	100
7	8	99
8	9	98
9	10	98
10	12	97
11	13	96
12	14	94
13	15	93
14	16	93
15	17	91
16	18	90
17	19	89
18	20	87
19	21	86
20	22	85
21	23	84
22	24	83
23	25	81
24	26	80
25	27	79
26	28	78
27	29	76
28	30	75
29	31	74
30	32	73
31	33	71
32	34	71
33	35	69
34	37	68
35	38	67
36	39	66
37	40	65
38	41	64
39	42	64
40	43	62
41	44	60
42	45	59
43	45	58
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	47
54	56	46
55	58	45
56	59	44
57	60	43
58	61	42
59	61	41
60	62	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	74	29
72	75	28
73	76	27
74	77	25
75	79	25
76	80	23
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
