iter	Passed	Remaining
0	161	161361
1	163	81564
2	166	55401
3	168	41905
4	169	33772
5	171	28335
6	171	24395
7	173	21461
8	174	19207
9	177	17560
10	179	16170
11	181	14955
12	183	13910
13	184	12974
14	185	12174
15	186	11468
16	187	10855
17	190	10386
18	192	9934
19	194	9538
20	195	9122
21	196	8750
22	197	8404
23	198	8087
24	199	7792
25	201	7545
26	203	7347
27	206	7175
28	208	6981
29	209	6779
30	210	6585
31	211	6407
32	212	6237
33	213	6077
34	214	5926
35	217	5815
36	219	5718
37	222	5626
38	223	5506
39	224	5385
40	225	5273
41	226	5164
42	227	5065
43	229	4989
44	232	4929
45	234	4860
46	235	4778
47	236	4697
48	237	4616
49	238	4538
50	239	4465
51	240	4392
52	242	4327
53	244	4287
54	246	4239
55	249	4211
56	250	4152
57	252	4094
58	253	4036
59	253	3979
60	254	3924
61	255	3871
62	256	3821
63	259	3795
64	261	3756
65	263	3724
66	264	3682
67	265	3638
68	266	3593
69	267	3554
70	268	3513
71	269	3479
72	274	3489
73	277	3472
74	279	3441
75	280	3406
76	281	3372
77	282	3337
78	283	3303
79	284	3270
80	285	3243
81	288	3226
82	289	3194
83	291	3178
84	293	3160
85	294	3133
86	295	3103
87	296	3075
88	297	3048
89	298	3022
90	299	2996
91	302	2985
92	304	2972
93	307	2959
94	308	2936
95	309	2914
96	310	2891
97	311	2869
98	312	2847
99	313	2825
100	316	2814
101	318	2804
102	320	2794
103	322	2775
104	323	2756
105	324	2735
106	325	2716
107	326	2696
108	327	2678
109	328	2660
110	331	2652
111	332	2637
112	334	2628
113	336	2614
114	337	2596
115	338	2578
116	339	2560
117	340	2542
118	341	2527
119	342	2510
120	343	2495
121	345	2485
122	346	2473
123	348	2463
124	350	2453
125	351	2439
126	352	2423
127	353	2408
128	354	2393
129	355	2380
130	356	2366
131	358	2356
132	360	2353
133	362	2345
134	364	2332
135	365	2319
136	366	2306
137	367	2293
138	368	2280
139	369	2267
140	370	2254
141	370	2241
142	372	2229
143	373	2220
144	374	2211
145	376	2202
146	378	2193
147	379	2182
148	380	2170
149	381	2159
150	382	2148
151	382	2136
152	384	2125
153	384	2114
154	386	2104
155	387	2094
156	388	2087
157	390	2082
158	392	2075
159	393	2067
160	394	2056
161	395	2046
162	396	2036
163	397	2026
164	398	2017
165	399	2007
166	400	1997
167	401	1987
168	403	1982
169	405	1979
170	406	1970
171	407	1961
172	408	1952
173	409	1943
174	410	1934
175	411	1926
176	412	1917
177	413	1909
178	414	1900
179	415	1892
180	416	1884
181	418	1879
182	419	1873
183	420	1866
184	421	1858
185	422	1850
186	424	1843
187	425	1835
188	426	1828
189	427	1821
190	428	1813
191	429	1805
192	430	1798
193	431	1790
194	432	1784
195	434	1781
196	435	1774
197	436	1767
198	437	1760
199	438	1753
200	439	1746
201	440	1740
202	441	1733
203	442	1726
204	443	1720
205	444	1713
206	445	1707
207	446	1700
208	448	1696
209	449	1690
210	450	1684
211	451	1677
212	452	1671
213	453	1664
214	454	1658
215	455	1652
216	456	1646
217	457	1640
218	458	1634
219	459	1627
220	460	1622
221	461	1616
222	462	1613
223	464	1608
224	465	1602
225	466	1597
226	467	1592
227	468	1587
228	470	1582
229	471	1577
230	472	1571
231	473	1566
232	474	1561
233	475	1555
234	476	1550
235	478	1548
236	479	1543
237	480	1538
238	481	1533
239	482	1528
240	483	1523
241	484	1518
242	485	1513
243	486	1508
244	487	1503
245	488	1498
246	489	1493
247	491	1488
248	492	1486
249	494	1482
250	494	1477
251	496	1472
252	497	1467
253	498	1463
254	499	1458
255	500	1453
256	501	1448
257	502	1444
258	503	1440
259	504	1436
260	505	1432
261	507	1429
262	509	1426
263	510	1422
264	511	1418
265	512	1413
266	513	1410
267	514	1406
268	515	1401
269	516	1397
270	517	1393
271	518	1389
272	520	1385
273	521	1382
274	523	1380
275	524	1375
276	525	1371
277	526	1367
278	528	1364
279	529	1361
280	530	1357
281	531	1353
282	532	1349
283	533	1345
284	534	1341
285	535	1337
286	537	1335
287	539	1332
288	540	1329
289	541	1326
290	542	1322
291	543	1318
292	544	1314
293	545	1310
294	546	1307
295	547	1302
296	549	1299
297	550	1296
298	552	1294
299	553	1292
300	555	1289
301	556	1285
302	557	1281
303	558	1278
304	559	1274
305	560	1270
306	561	1267
307	562	1263
308	563	1260
309	564	1256
310	565	1252
311	567	1251
312	569	1249
313	570	1246
314	571	1242
315	572	1239
316	573	1236
317	574	1232
318	575	1229
319	577	1226
320	578	1223
321	579	1220
322	580	1217
323	582	1215
324	584	1213
325	585	1210
326	586	1206
327	587	1203
328	588	1200
329	589	1197
330	590	1193
331	591	1190
332	592	1187
333	593	1184
334	595	1182
335	596	1179
336	600	1180
337	601	1178
338	602	1175
339	604	1172
340	605	1169
341	606	1166
342	607	1163
343	608	1160
344	610	1158
345	613	1159
346	614	1156
347	617	1156
348	618	1154
349	619	1151
350	620	1147
351	621	1144
352	622	1141
353	625	1141
354	626	1139
355	628	1137
356	630	1135
357	631	1132
358	632	1129
359	633	1126
360	635	1124
361	636	1121
362	637	1119
363	640	1118
364	641	1116
365	644	1116
366	646	1115
367	647	1112
368	648	1109
369	649	1106
370	650	1103
371	651	1100
372	653	1097
373	655	1097
374	658	1096
375	660	1096
376	662	1094
377	663	1091
378	664	1088
379	665	1085
380	666	1083
381	668	1081
382	671	1081
383	673	1080
384	674	1078
385	675	1075
386	676	1072
387	678	1069
388	679	1066
389	680	1063
390	681	1060
391	683	1060
392	684	1057
393	687	1057
394	688	1055
395	690	1052
396	691	1049
397	692	1047
398	693	1044
399	694	1041
400	695	1039
401	697	1038
402	699	1036
403	701	1035
404	703	1033
405	704	1031
406	705	1028
407	706	1025
408	707	1022
409	708	1019
410	709	1017
411	712	1016
412	714	1015
413	716	1014
414	717	1011
415	718	1009
416	719	1006
417	721	1004
418	722	1001
419	723	998
420	724	996
421	726	995
422	728	993
423	731	993
424	732	991
425	733	988
426	735	986
427	736	983
428	737	981
429	738	978
430	739	976
431	742	976
432	745	976
433	747	975
434	748	972
435	750	970
436	751	967
437	752	965
438	753	962
439	755	961
440	758	961
441	760	960
442	762	958
443	763	955
444	764	953
445	765	950
446	766	948
447	767	945
448	769	943
449	770	942
450	772	940
451	774	938
452	775	936
453	776	933
454	777	931
455	778	928
456	779	926
457	780	923
458	781	921
459	782	919
460	785	918
461	787	916
462	788	914
463	790	912
464	791	910
465	792	907
466	793	905
467	793	902
468	794	900
469	796	897
470	796	895
471	798	893
472	801	892
473	802	890
474	803	888
475	804	885
476	805	883
477	806	880
478	807	878
479	808	876
480	809	873
481	810	871
482	811	868
483	812	866
484	814	864
485	815	862
486	817	860
487	818	858
488	819	855
489	820	853
490	821	851
491	822	848
492	823	846
493	824	844
494	825	841
495	826	839
496	827	837
497	829	835
498	830	834
499	832	832
500	833	829
501	834	827
502	835	825
503	836	823
504	837	821
505	838	819
506	839	816
507	840	814
508	842	812
509	843	810
510	846	809
511	847	807
512	848	805
513	849	803
514	850	800
515	851	798
516	852	796
517	853	794
518	854	791
519	855	789
520	856	787
521	857	785
522	859	783
523	860	781
524	862	780
525	863	777
526	864	775
527	865	773
528	866	771
529	867	768
530	868	766
531	868	764
532	869	762
533	870	759
534	872	758
535	874	757
536	876	755
537	877	753
538	878	751
539	879	749
540	880	747
541	881	745
542	883	743
543	884	741
544	885	738
545	886	737
546	887	735
547	888	733
548	889	730
549	890	728
550	891	726
551	892	724
552	893	722
553	894	720
554	895	718
555	896	716
556	897	713
557	898	711
558	899	709
559	900	707
560	902	705
561	903	704
562	904	702
563	905	700
564	907	698
565	908	696
566	909	694
567	910	692
568	911	690
569	912	688
570	913	686
571	914	684
572	915	682
573	917	680
574	918	678
575	919	677
576	920	674
577	921	672
578	922	670
579	923	668
580	924	666
581	926	665
582	927	663
583	928	661
584	929	659
585	930	657
586	932	656
587	934	654
588	935	652
589	936	650
590	937	648
591	938	646
592	939	644
593	940	642
594	941	641
595	943	639
596	944	637
597	945	635
598	947	634
599	948	632
600	949	630
601	951	628
602	952	626
603	953	625
604	954	623
605	955	621
606	956	619
607	957	617
608	958	615
609	959	613
610	961	612
611	963	610
612	964	608
613	965	607
614	967	605
615	968	603
616	969	601
617	970	599
618	971	598
619	972	596
620	974	594
621	975	592
622	976	591
623	977	589
624	979	587
625	980	585
626	981	583
627	982	581
628	983	580
629	984	578
630	986	576
631	987	575
632	988	573
633	989	571
634	991	569
635	993	568
636	994	566
637	995	564
638	996	563
639	997	561
640	998	559
641	999	557
642	1000	555
643	1001	553
644	1002	551
645	1003	550
646	1005	548
647	1007	547
648	1008	545
649	1009	543
650	1010	541
651	1011	539
652	1012	538
653	1014	536
654	1015	534
655	1016	532
656	1017	531
657	1018	529
658	1020	528
659	1021	526
660	1024	525
661	1025	523
662	1026	521
663	1028	520
664	1029	518
665	1030	516
666	1031	515
667	1032	513
668	1033	511
669	1035	510
670	1037	508
671	1039	507
672	1040	505
673	1042	504
674	1043	502
675	1044	500
676	1045	498
677	1047	497
678	1048	495
679	1050	494
680	1052	492
681	1053	491
682	1054	489
683	1056	487
684	1057	486
685	1059	485
686	1060	483
687	1062	481
688	1063	480
689	1065	478
690	1066	476
691	1067	475
692	1068	473
693	1070	471
694	1071	470
695	1072	468
696	1073	466
697	1074	464
698	1075	463
699	1076	461
700	1078	459
701	1079	458
702	1082	457
703	1083	455
704	1084	453
705	1085	452
706	1087	450
707	1088	448
708	1089	447
709	1090	445
710	1092	443
711	1093	442
712	1096	441
713	1097	439
714	1099	438
715	1100	436
716	1102	435
717	1104	433
718	1105	432
719	1106	430
720	1107	428
721	1109	427
722	1111	425
723	1113	424
724	1114	422
725	1116	421
726	1117	419
727	1118	417
728	1119	416
729	1121	414
730	1122	412
731	1123	411
732	1125	410
733	1127	408
734	1128	406
735	1129	405
736	1130	403
737	1131	401
738	1132	400
739	1134	398
740	1135	396
741	1136	395
742	1138	393
743	1140	392
744	1141	390
745	1143	389
746	1144	387
747	1145	385
748	1146	384
749	1147	382
750	1148	380
751	1149	379
752	1151	377
753	1152	375
754	1153	374
755	1154	372
756	1156	371
757	1157	369
758	1158	367
759	1159	366
760	1160	364
761	1161	362
762	1163	361
763	1164	359
764	1165	358
765	1166	356
766	1167	354
767	1169	353
768	1170	351
769	1172	350
770	1173	348
771	1174	346
772	1175	345
773	1176	343
774	1177	341
775	1178	340
776	1180	338
777	1181	337
778	1182	335
779	1184	334
780	1186	332
781	1187	330
782	1188	329
783	1189	327
784	1191	326
785	1192	324
786	1193	322
787	1194	321
788	1195	319
789	1197	318
790	1198	316
791	1200	315
792	1201	313
793	1202	312
794	1203	310
795	1205	308
796	1206	307
797	1207	305
798	1208	304
799	1209	302
800	1210	300
801	1212	299
802	1213	297
803	1215	296
804	1216	294
805	1217	293
806	1219	291
807	1220	289
808	1221	288
809	1222	286
810	1223	285
811	1225	283
812	1226	282
813	1227	280
814	1229	279
815	1230	277
816	1231	275
817	1233	274
818	1234	272
819	1235	271
820	1237	269
821	1239	268
822	1240	266
823	1241	265
824	1243	263
825	1244	262
826	1245	260
827	1247	259
828	1248	257
829	1249	255
830	1250	254
